model,region,abbrevs,names,AI_mean,AI_min,AI_max
GFDL-ESM2M_r240x120-QME,3,VIC,Victoria,-0.08389461348122128,-1.0,1.0
GFDL-ESM2M_r240x120-QME,4,SA,South Australia,-0.34766492867789356,-1.0,0.0
GFDL-ESM2M_r240x120-QME,5,TAS,Tasmania,0.061493341770140916,0.0,1.0
GFDL-ESM2M_r240x120-QME,6,NT,Northern Territory,0.02249520752085423,-1.0,1.0
GFDL-ESM2M_r240x120-QME,7,QLDNorth,Queensland North,-0.049699805446870464,-1.0,1.0
GFDL-ESM2M_r240x120-QME,8,QLDSouth,Queensland South,-0.20562899732047124,-1.0,0.0
GFDL-ESM2M_r240x120-QME,9,AUS,Australia,-0.1019284297779696,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,0,WANorth,Western Australia North,-0.05299243838365043,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.044283396275853634,-2.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,0.18757886752092354,-1.0,2.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,3,VIC,Victoria,-0.04507634659201031,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,4,SA,South Australia,-0.006441836526452096,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,5,TAS,Tasmania,-0.015605124181342175,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,6,NT,Northern Territory,-0.0023861768425102355,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,7,QLDNorth,Queensland North,0.054593388984737264,-1.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,8,QLDSouth,Queensland South,0.07794212512360224,0.0,1.0
MIROC5_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,9,AUS,Australia,0.016285354097283485,-2.0,2.0
MIROC5__r240x120-ISIMIP2b,0,WANorth,Western Australia North,-0.027145546110830022,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.07179906569492521,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,0.012378355974277212,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,3,VIC,Victoria,0.014667607576981809,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,4,SA,South Australia,-0.019090951115559713,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,5,TAS,Tasmania,-0.024417060331876485,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,6,NT,Northern Territory,-0.08600589899015239,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,7,QLDNorth,Queensland North,-0.07815213886878045,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,8,QLDSouth,Queensland South,-0.018916005488957877,-1.0,1.0
MIROC5__r240x120-ISIMIP2b,9,AUS,Australia,-0.04372423789511338,-1.0,1.0
MIROC5_r240x120-MRNBC,0,WANorth,Western Australia North,-0.04006914153863967,-1.0,1.0
MIROC5_r240x120-MRNBC,1,WASouth,Western Australia South,-0.11818015602578938,-1.0,1.0
MIROC5_r240x120-MRNBC,2,NSW,New South Wales and Australian Capital Territory,0.06504919920138258,-1.0,1.0
MIROC5_r240x120-MRNBC,3,VIC,Victoria,0.01157835243656431,-1.0,1.0
MIROC5_r240x120-MRNBC,4,SA,South Australia,-0.036491440910965414,-1.0,1.0
MIROC5_r240x120-MRNBC,5,TAS,Tasmania,-0.024497814178911812,-1.0,1.0
MIROC5_r240x120-MRNBC,6,NT,Northern Territory,-0.13475012119658772,-1.0,1.0
MIROC5_r240x120-MRNBC,7,QLDNorth,Queensland North,-0.07169703992023212,-1.0,1.0
MIROC5_r240x120-MRNBC,8,QLDSouth,Queensland South,-0.017530934054325646,-1.0,1.0
MIROC5_r240x120-MRNBC,9,AUS,Australia,-0.05890102160014559,-1.0,1.0
MIROC5_r240x120-QME,0,WANorth,Western Australia North,-0.03777319378555257,-1.0,1.0
MIROC5_r240x120-QME,1,WASouth,Western Australia South,-0.11965364571628487,-1.0,1.0
MIROC5_r240x120-QME,2,NSW,New South Wales and Australian Capital Territory,0.05890442068922695,-1.0,1.0
MIROC5_r240x120-QME,3,VIC,Victoria,0.07175790925180343,-1.0,1.0
MIROC5_r240x120-QME,4,SA,South Australia,-0.01139842377893005,-1.0,1.0
MIROC5_r240x120-QME,5,TAS,Tasmania,0.016012284861713993,-1.0,1.0
MIROC5_r240x120-QME,6,NT,Northern Territory,-0.09863932615618562,-1.0,1.0
MIROC5_r240x120-QME,7,QLDNorth,Queensland North,-0.08705424034118533,-1.0,1.0
MIROC5_r240x120-QME,8,QLDSouth,Queensland South,-0.01701509660222908,-1.0,1.0
MIROC5_r240x120-QME,9,AUS,Australia,-0.04931390014355838,-1.0,1.0
